epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,1803.37,0.60254,0.381,1.07412,0.9946,0.99604,0.99277,0.90365,0.46475,0.26962,0.94384,0.000935354,0.000935354,0.000935354
135,1816.27,0.6148,0.39322,1.0775,0.99547,0.99622,0.99322,0.89656,0.47093,0.27982,0.92606,0.000929853,0.000929853,0.000929853
136,1829.59,0.62769,0.39812,1.09754,0.9952,0.99635,0.99431,0.91221,0.42936,0.26758,0.90884,0.000924352,0.000924352,0.000924352
137,1842.71,0.60876,0.39773,1.07688,0.99516,0.99654,0.99259,0.89766,0.4952,0.28964,0.94214,0.00091885,0.00091885,0.00091885
138,1855.29,0.61601,0.39647,1.08772,0.99537,0.99654,0.9923,0.89272,0.48467,0.28157,0.93883,0.000913349,0.000913349,0.000913349
139,1868.33,0.6196,0.39272,1.08505,0.99532,0.99613,0.9927,0.91022,0.42947,0.26849,0.91348,0.000907848,0.000907848,0.000907848
140,1881.08,0.59596,0.37072,1.06338,0.99517,0.99617,0.99296,0.91668,0.42592,0.27157,0.90701,0.000902347,0.000902347,0.000902347
141,1894.37,0.57015,0.37696,1.06705,0.99503,0.99633,0.99114,0.91329,0.41297,0.25974,0.90326,0.000896846,0.000896846,0.000896846
142,1907.86,0.55827,0.37471,1.0385,0.99526,0.99631,0.99092,0.91658,0.4231,0.25422,0.91535,0.000891345,0.000891345,0.000891345
143,1920.13,0.60902,0.38567,1.0909,0.99535,0.99616,0.99167,0.9101,0.43359,0.25706,0.90534,0.000885844,0.000885844,0.000885844
144,1933.28,0.55054,0.37631,1.05343,0.99489,0.99654,0.99334,0.91383,0.42351,0.25983,0.90063,0.000880343,0.000880343,0.000880343
145,1946.1,0.59162,0.37142,1.06563,0.9939,0.9963,0.99412,0.90594,0.43757,0.25897,0.90735,0.000874842,0.000874842,0.000874842
146,1958.69,0.56806,0.37686,1.06646,0.99493,0.99654,0.99377,0.90747,0.44141,0.26292,0.91269,0.00086934,0.00086934,0.00086934
147,1972.21,0.59237,0.37602,1.07543,0.99494,0.99654,0.99388,0.91512,0.40779,0.25408,0.89818,0.000863839,0.000863839,0.000863839
148,1984.75,0.58782,0.37571,1.07569,0.99518,0.99652,0.9907,0.91519,0.42513,0.2634,0.90909,0.000858338,0.000858338,0.000858338
149,1997.57,0.57848,0.36539,1.0612,0.99504,0.99641,0.99326,0.91787,0.41265,0.25772,0.90477,0.000852837,0.000852837,0.000852837
150,2010.73,0.58199,0.37987,1.06593,0.99532,0.99654,0.99382,0.9178,0.41014,0.25144,0.90185,0.000847336,0.000847336,0.000847336
151,2023.54,0.56289,0.3775,1.0431,0.99526,0.99654,0.99372,0.91393,0.42644,0.25373,0.90485,0.000841835,0.000841835,0.000841835
152,2036,0.62231,0.36978,1.08449,0.99503,0.99654,0.99434,0.91149,0.4405,0.26708,0.91438,0.000836334,0.000836334,0.000836334
153,2048.97,0.58716,0.38319,1.05528,0.99505,0.99654,0.9944,0.91784,0.41726,0.25699,0.90303,0.000830833,0.000830833,0.000830833
154,2062.98,0.56609,0.35904,1.05049,0.99494,0.99654,0.99316,0.91296,0.41505,0.25801,0.90065,0.000825332,0.000825332,0.000825332
155,2075.49,0.57317,0.37011,1.06585,0.99514,0.99634,0.994,0.90482,0.44373,0.25164,0.91348,0.000819831,0.000819831,0.000819831
156,2088.4,0.55736,0.3601,1.06257,0.99517,0.99635,0.99311,0.92203,0.40387,0.24465,0.89794,0.000814329,0.000814329,0.000814329
157,2100.97,0.56427,0.35645,1.04379,0.99479,0.99631,0.99403,0.91843,0.39869,0.25154,0.89296,0.000808828,0.000808828,0.000808828
158,2114.43,0.57023,0.36366,1.07275,0.99521,0.99641,0.9937,0.92173,0.39745,0.2538,0.89326,0.000803327,0.000803327,0.000803327
159,2127.17,0.5721,0.36691,1.0507,0.99508,0.99654,0.99352,0.91539,0.42584,0.25547,0.91136,0.000797826,0.000797826,0.000797826
160,2139.78,0.5871,0.38019,1.0825,0.99429,0.99654,0.99411,0.92017,0.39096,0.25273,0.8869,0.000792325,0.000792325,0.000792325
161,2152.88,0.57002,0.36347,1.05065,0.99502,0.99653,0.99393,0.91832,0.42491,0.25351,0.90571,0.000786824,0.000786824,0.000786824
162,2165.65,0.58511,0.37475,1.07995,0.9952,0.99633,0.99464,0.92162,0.407,0.2441,0.89953,0.000781323,0.000781323,0.000781323
163,2178.18,0.58328,0.36503,1.06567,0.99499,0.99614,0.99387,0.92508,0.40468,0.2413,0.89931,0.000775822,0.000775822,0.000775822
164,2191.1,0.5588,0.35151,1.04594,0.99508,0.99625,0.99284,0.91388,0.40606,0.24029,0.8951,0.000770321,0.000770321,0.000770321
165,2204.77,0.55325,0.37103,1.04072,0.99498,0.99654,0.99283,0.91812,0.40349,0.24411,0.89307,0.00076482,0.00076482,0.00076482
166,2217.63,0.57746,0.37184,1.05973,0.99534,0.99616,0.99329,0.92509,0.39964,0.248,0.89113,0.000759318,0.000759318,0.000759318
167,2230.89,0.56709,0.36035,1.04345,0.99519,0.99615,0.99317,0.92139,0.41859,0.26148,0.90097,0.000753817,0.000753817,0.000753817
168,2243.76,0.56533,0.35284,1.0492,0.99504,0.99654,0.99349,0.92553,0.40954,0.25724,0.90093,0.000748316,0.000748316,0.000748316
169,2256.81,0.54357,0.3386,1.03092,0.99511,0.99642,0.99397,0.92703,0.39221,0.24421,0.89051,0.000742815,0.000742815,0.000742815
170,2269.99,0.53973,0.33977,1.05489,0.9952,0.99654,0.99447,0.91747,0.4083,0.24893,0.89574,0.000737314,0.000737314,0.000737314
171,2282.8,0.54819,0.35902,1.0382,0.99501,0.9963,0.99451,0.92586,0.39325,0.23554,0.88736,0.000731813,0.000731813,0.000731813
172,2295.88,0.57144,0.35754,1.06474,0.99488,0.99634,0.9935,0.92344,0.39223,0.24147,0.88765,0.000726312,0.000726312,0.000726312
173,2309.07,0.5445,0.34921,1.04441,0.99516,0.99644,0.99288,0.9174,0.39694,0.24132,0.88575,0.000720811,0.000720811,0.000720811
174,2321.46,0.55414,0.3611,1.061,0.99506,0.99638,0.99325,0.9311,0.37937,0.22793,0.88111,0.00071531,0.00071531,0.00071531
175,2334.96,0.55512,0.35463,1.04578,0.99497,0.99645,0.99166,0.92445,0.38633,0.24133,0.88444,0.000709809,0.000709809,0.000709809
176,2347.76,0.5623,0.35941,1.05584,0.99493,0.99481,0.99176,0.91959,0.40031,0.25181,0.88937,0.000704307,0.000704307,0.000704307
177,2360.78,0.57338,0.36283,1.05645,0.99509,0.99626,0.99204,0.91702,0.41567,0.25311,0.89277,0.000698806,0.000698806,0.000698806
178,2373.77,0.55553,0.34813,1.04763,0.99532,0.99612,0.99379,0.91667,0.40248,0.24428,0.89922,0.000693305,0.000693305,0.000693305
